name,group,value
anti biotic,1,45
resistance,1,45
justice,19,27.7
misuse of authority,1,45
mother’s day 2022,4,37
mothers love,4,34.5
working mums,1,45
health covid-19,41,29.6
omicron,64,27.8
third wave,17,40.8
uk,54,31.9
tummy flu,1,45
festival of colour,5,34.8
covid 19,504,29.7
covid vaccination,4,33.5
nehru,12,30.6
anniversary,8,31.4
brazil,61,29.3
spring,11,30.6
covid vaccine,52,34.1
srk,11,21.2
hate mongering,1,45
world cancer day,15,38.3
health inequalities,1,45
health disparities,14,40.9
world bipolar day 2022,10,25
van gogh,2,28.5
yoga day,31,25.5
narendra modi,192,16.2
hijab controversy,14,32.2
muslim women,2,33
right to chose,4,39
pandemic,73,29.8
no restrictions,1,45
world environment day,30,24.6
only one earth,6,27.2
tinder swindler,2,42
relationships,17,28.8
fraud,5,28.4
vaccine,32,26.3
national family health survey,1,45
wealth,1,45
weekend,23,35.1
weekend binge,1,45
community spread,1,45
women’s equality day,9,43.6
eid mubarak,21,26.5
festivals,25,30.8
menstruation,18,27.2
mother’s day,19,27.6
mother daughter bond,1,45
sleep apnea,4,37.5
prayers,5,36.6
muslims festivals,2,33
school opening,2,45
doctor's day,11,29.5
doctor patient relationship,5,39.8
aiims,13,50
vaccination,22,23.3
covid third wave,2,45
causes/symptoms/ treatment,1,45
omicron variant,13,35.3
marriage,34,25.9
sologamy,1,45
wuhan university,1,45
cardiac disease,1,45
diabetes,157,25.1
booster,1,45
coronavac,1,45
world blood donors day,14,27.6
selfless service,4,25.8
blood donation,25,25.3
humanityfirst,5,35.2
alopecia,2,42
oscars 2022 .,9,25.9
jada smith,6,26.3
will smith,27,30.1
cristiano ronaldo,219,29.5
i am georgia,1,45
long covid,7,35.3
hijab,28,25.9
uniform,3,34.7
third wave covid,1,45
water,59,26.8
sop school reopening,1,45
schools,51,33
iftar,4,28
intermittent fasting,8,26.4
mohammad ali,1,45
racial integration,2,42
black history month,17,25.6
medication,1,45
binge watch,11,23.6
fame game,2,33.5
madhuri dixit,3,29.3
yoga,93,30
yoga life style,24,24.0
sanitation,1,45
mishap,4,57
labourers,2,34
work,46,26.9
labour security,1,45
pig heart,2,42
died,1,45
that sucks day,11,25.8
social media behaviour,1,45
social reform,7,37.7
internet,32,26.1
the national health survery,1,45
indo pak relations,2,29
russia-ukraine crisis,13,25.5
russian doctors,1,45
childbirth,4,43.2
grandchild,2,44.5
girls education,16,23.7
scent dogs,1,45
covid detection,1,45
university,41,22.5
woman power,3,29
religion,101,30.4
choice,2,49.5
religious freedom,9,28.8
cowin app,2,45
palestine -israel,2,32.5
covid deaths,3,28.3
story of deaths,1,45
paradox,1,45
respiratory health,1,45
teenagers,8,23.6
smoking,9,27.4
vapes,1,45
summer heat,2,32
delhi ncr,7,35.3
bridgerton,3,27
period drama,7,24
romance,210,20.1
neocov,2,34
oscars2022,59,24.9
godfather,3,29
"health ,",5,29.4
diet advice,1,45
karnataka,15,29.8
review,29,22.4
netflix movies,24,24.2
turkish,1,45
toxic substances,1,45
muslims,8,30
hate,7,30.9
crime against women,2,29
traditional medicine,2,48.5
saturday,4,36
yoga inspiration,18,25
yoga for all,19,23.9
ban,5,25.8
emojis,13,22.3
world emoji day,14,24
sunday funday,3,28.3
narcissist,1,45
bappi lahiri,12,28.8
persian new year,1,45
fruits,32,24.5
development indicators,2,45
family health survey,1,45
relationship,50,23.3
alzheimer’s,3,29.7
world sandwich day,6,27.8
tuna sandwich,1,45
iftaar,1,45
ramadhan fasts,1,45
fawad khan,2,34
weather extremities,4,40.5
amarnath yatra,87,40.8
ads,3,36.3
weddings,14,22.8
deaths,2,45
world peace day,5,37.8
belgium chocolates,1,45
salmonella,1,45
friday prayers,1,45
covid vaccines,42,32.6
let’s discuss mental health,13,36.5
weekend watch,1,45
war,109,26.5
russia - ukraine,1,45
pakistan,136,21.8
tuberculosis,2,34
father daughter,2,31.5
vaccine efficacy,1,45
feelings,13,23.5
new language,1,45
padma awards,14,26.9
modern love mumbai,2,41.5
love stories,3,29.7
advertising,47,15.6
amul ad,1,45
europe,76,27.7
abortion law,17,28.9
pregnancy,25,29.6
weight loss,5,34.2
eid,19,25.9
rising cases,1,45
blood washing,1,45
bmj,1,45
handicrafts,3,29
varanasi,38,32.7
sari,1,45
taxation,4,31.8
alcoholism,6,33.8
health apps,1,45
liril ad,1,45
memories,60,24.0
covid,171,38.5
new possible variant,1,45
endemic,6,26.7
bicycle,6,24.8
world bicycle day,27,29.9
xe variant,1,45
ba.2,3,30
children,93,28.9
society,25,25.5
fathers- daughter,1,45
father’s day,4,28.2
adult population,1,45
women’s day,12,27.3
breathe bias,1,45
celebrate every woman,2,40.5
working women,1,45
mother's day,29,24.2
mother,31,24.1
elections,66,27.4
rain,88,21.8
post covid life,1,45
cancer,40,29.6
therapy,17,23.6
womens rights,8,24.8
indian students,3,29
earth day 2022,36,23.6
investinourplanet,19,14.6
good looks and good looks,1,45
muslim identity,1,45
world cycling day,3,29
fasting,1,45
islam,12,28.4
hummus,2,32.5
world health day 2022,12,29.1
skyline,21,28.7
shashi tharoor,12,36.2
aircraft carrier,3,36.3
mohanlal,2,44
salman rushdie,32,35.2
national flag,23,27.9
anne heche,11,26.1
bollywood,1304,22.2
commonwealthgames22,9,26.7
commonwealth games,76,27.6
independence,39,27.3
manisha kalyan,8,35.8
athletes,24,38.4
commonwealth,9,26.2
botanist,2,44
bikes,23,20.6
transfers,27,25.8
under 17,2,44
pv sindhu,15,22.8
culture,209,24.3
boxing,47,31.4
cricket,610,24.9
political marriage,1,44
texas shooting,3,36.7
election,34,24.4
australia,527,16.1
traffic,5,34
sri lanka,54,27.2
sports persons,1,44
movies,384,25.8
budget 2022,20,23.6
diplomats exodus,1,44
shinzo abe,10,26.2
stamps,2,43.5
assembly elections,44,35.9
bjp,130,28.1
amazon,26,26.9
sparrow,3,42.3
charity,8,38.4
aircraft,5,27.2
epl,9,26
trees,82,23.7
world sparrow day,1,44
crime,96,20.3
street food,37,23.4
kolkata,38,29.3
cinema,119,28.6
draupadi murmu,5,25.4
salary,5,42
rains,18,25.8
photograph,1,44
chese,1,44
economics,17,21.6
rusiia,1,44
president,12,39.7
racism,46,31.2
black lives matter,68,17.9
messi,111,29.9
argentina,53,31.1
che,1,44
revolution,3,28.7
national awards,4,23.8
law,53,35.0
bike,29,25.0
transport,7,26.4
politics.,1,44
obituary,3,31.7
wedding,33,27.4
vietnam war,4,34
diplomacy,20,29.2
science and technology,39,31.1
obituaries,1,44
teacher,15,26.5
trekking,57,22
droupadi murmu,18,23.8
lottery,2,50.5
sunset,174,23.0
reading,317,20.8
equity,5,24.4
public transport,4,33.5
environment friendly,40,21.2
world photography award,1,44
photos,31,25.6
pilot,7,27.4
indian air force,11,25.3
padma,3,43.3
birds,50,28.5
rahul bajaj,2,45
ipl auction,4,32
atheletes,6,23.5
yashwant sinha,8,23.5
summer,49,23.9
wimbledon,120,39.7
lifestyle,226,18.0
cricket fab,3,36.7
women,113,25.3
qatar,51,26.7
sandwiches,3,29.7
back history,1,44
sexual health,91,23.0
sexuality,15,23.8
sex,19,24.2
sex education,82,20.2
moral policing,5,16.4
uncontrolled diabetes,1,13
malady - solution,1,13
covid vaccines boosters,1,13
ba 2,1,13
mothers,12,23.7
spread,1,13
things to know,1,13
doctors,17,19.1
masks,14,25.4
new drug,1,13
diets,8,21.6
2022,76,21.8
boosters,2,26
herons,1,14
swifties,2,30
f1,298,32.5
nerd culture,2,30
jamie chadwick,2,30
meme,122,22.4
lewis hamilton,32,28.3
black history,7,33.4
this is us,4,30.2
valentines,14,28.7
it is how it is,1,30
lays,1,30
new kicks,3,22
rihanna,29,22.1
henry winkler,1,30
bad jokes,2,32
cookies,6,23.2
carlos sainz,23,36.7
ferrari,126,38.2
tv,38,23.2
fake idols,1,30
faith,16,32.5
news,1208,27.8
marvel,167,22.5
dark history,1,30
joker,15,23.1
food porn,1,30
foodgasm,1,30
motorsports,3,31.7
no sleep,1,30
chris rock,8,26.1
memes,271,20.6
sneakers,9,27.4
gilbert gottfreid,1,30
comedy,49,21.9
smoke,1,30
rage against the machine,1,30
good food,4,22.8
dating life,6,26.3
positivity,40,27.1
beyonce,10,22.3
juri vips,3,32
vettel,12,38.8
decor,13,18.6
whales,4,36.8
interior decor,1,30
grammys,6,21.8
films,29,24.5
johnny depp,22,24.4
amber heard,17,25.1
sky pics,4,22
marc marquez,27,37.2
moto gp,9,33.4
moments,17,20.9
be good,3,20.3
be kind,2,30.5
aston martin,17,36.5
throwback,8,23.6
standup comedy,6,32.5
gurleen pannu,1,25
mclaren,11,28.5
burgers,9,21.3
live music,19,35.1
winters,8,29.6
the beatles,3,21
sanjay mishra,1,25
good friday,2,24
concert photography,1,25
the groove studios,1,25
riding,16,18.9
mornings,1,25
delhi art scene,3,34.3
animals,119,25.4
pizza,33,22.6
family time,12,37.8
gig life,1,25
musician life,1,25
fact check,5,28
worship music,3,37.7
worship concert,1,25
f1 rumours,3,24.3
nikita mazepin,8,34.6
antonio giovinazzi,3,30.3
haas,18,38.3
murray walker,1,25
up elections,6,27.7
democracy,19,27.4
mercedes,24,33.0
singapore gp,1,25
war on ukraine,1,25
e-sports,1,25
mario kart,2,25
alpha tauri,1,25
redbull,2,44
alpine,9,33.9
pierre gasly,4,31.5
sunder nursery,5,22.6
bahrain gp,2,27.5
udaipur,7,27.6
hello,7,22.9
formula 1,195,37.0
imola gp,1,25
imola,8,35.1
red bull,33,38.2
sebastian vettel,16,34.7
max verstappen,36,35.8
scuderia ferrari,34,38.5
vanity fair,1,25
watchmen,1,16
bees,1,16
ant,1,16
cats,65,22.9
tromso,1,16
norway,26,26.1
northern lights,4,27
ants,1,17
rape,13,27.8
nrc,2,29.5
cartoons,21,21.6
famous cases,1,34
gehraiyaan,7,23.7
tomb of sand,1,34
hindi novels,1,34
twitter,64,24.8
islamophobia,12,26.1
hot takes,1,34
judd apatow,1,34
jnu,4,20.2
hate crimes,7,25.6
abvp,1,34
feminism,144,21.6
arundhati roy,4,27.5
fascism,2,28
vir das,1,34
marital rape,3,30.7
nobel prize,4,32.8
biryani,5,23.6
food trends,1,34
swiggy,7,23
zomato,10,23.1
neet,5,24.4
kerala cuisine,3,30
spicy,4,23.2
mass shooting,8,33
buffalo,1,34
white supremacism,1,34
taboos,2,36.5
ageism,2,27.5
sexism,19,23.7
poems,26,22.5
wendy cope,1,34
court cases,1,34
rana ayyub,1,34
tweets,2,34
zerodha,1,34
fat shaming,1,34
skin care,10,21.9
best of tumblr,1,34
covid-19,147,29.7
tweet of the day,1,34
kerala tourism,1,34
adaptations,2,36.5
pop culture,6,26.8
twilight,3,26
indian law,3,31.7
nicole kidman,7,23.3
metoo,2,30
defamation,3,26.7
adoption,2,27
spotify,21,25.2
podcasting,6,37.3
joe rogan,4,37.5
misinformation,8,39
covid19,6,25.2
cybercrime,6,24.3
meat ban,1,34
gujarat,80,23.2
bulldozerraj,1,34
grilled cheese,2,29
poem of the day,3,26
copypasta,1,34
quotable quotes,1,34
ambedkar,7,31.7
surgery,4,26.2
everyday sexism,1,34
sexual assault,10,22.7
african american women,5,26.8
michelle obama,7,30.1
immigration,22,26.0
dalit history month,2,35
legacy of oppression,1,34
debates,3,25
rosa parks,1,34
white feminism,3,25.3
hijab ban,2,29.5
adnan syed,1,34
cyberbullying,1,34
gun control,89,27.6
america,73,41.0
texas,20,38.9
mass shootings,4,26.5
school shooting,2,45.5
game of thrones,22,23.2
george r r martin,1,34
procrastination,12,20.9
reflections,4,25.8
casteism,4,51
academia,2,27
rohith vemula,1,34
sweden,13,28.2
hospitality,4,48.2
funny,42,22.2
modi,28,20.6
dowry death,1,34
vismaya,1,34
kerala,79,29.4
cannes,22,22.8
aishwarya rai bachchan,3,26
english summer,1,36
home,78,24.8
self,6,24.2
baking,39,26.2
homecook,1,36
integrity,3,32
nutella,4,30
italy,622,26.3
ocean,10,37
gender violence,2,36
smash the patriarchy,1,36
europa,11,35.4
women in politics,11,30.4
women at work,37,36
local stories,1,36
development,20,28.5
journalism,28,29.7
investigation,6,29.5
public event,1,36
indian summer,1,36
foreign affairs,6,27.5
ukraine war,210,30.5
ukraine crisis,126,32.5
us policy,1,31
freedom of speech,13,35.1
social media regulation,5,35.8
world affairs,3,29
finance,30,20.4
current affairs,49,24.9
esg,1,31
exercise,46,36.0
heart ailments,2,42
dwight howard,36,38.3
psg,491,39.9
writetobeyou,3,19.7
uefa,279,31.8
ucl,34,24
uwcl,7,42
pixstory office,69,21.2
pixstory vibe,82,21.3
pixstoryapp,74,21.3
pixstory office ❤️,29,22.7
traveling,104,27.3
travel photographer,46,28.2
travelouge,13,35.2
travellers,20,36.1
united arab emirates,5,27.6
dubai,21,33.5
dubai airport,2,34
dubai moonlight classic,1,44
dubai burjkhalifa,1,44
leisure,15,29.1
travelogue,6,43.5
travel...play ..and photos..,5,34
travels,6,38.2
indian travel agents,1,44
pixstorians,3,29.7
pixstory pro,45,21.3
pixstory sessions,28,22.3
pixstory memes,26,22.8
pixstory app,39,22.2
saudi arabia,15,24.7
road trips,6,29.7
nature photography,378,23.5
nature magazine,6,25.7
nature's beauty,99,22.9
nature love,61,23.0
nature climate change,6,32.8
world,30,22.5
airports,4,33.5
airport,7,27.4
airport look,6,25.7
airport management,3,36.3
airlines,12,25.4
moses,2,47
faith and belief,1,47
israel,23,27.6
sacramento kings,14,47.3
nba trade rumors,12,43.5
appu suresh,4,43.5
vivek ranadive,1,50
9-11,1,50
kids,13,37.9
infants,2,36.5
nba draft,8,35.2
respect,14,22.2
courtesy,1,50
accountability,3,27.3
tribalism,1,50
polarization,1,50
#nevermarkjackson,1,50
pelicans,1,50
kings,2,50
draft,2,37
march madness,4,43
nba trade grades,2,50
finland,13,24.5
nato,40,27.8
social media reform,1,50
nba free agency,3,32.7
washington dc,36,27.1
the satanic verses,6,38.3
glorious cities and their rise,2,47
mysteries in history,4,47
interesting facts,16,33.2
tribal culture,5,43.4
magic in nature,2,47
indian evolution,2,47
less known history,2,47
strange happenings,2,47
life & its teachings,2,47
incredible nature,2,47
the games world,2,47
ww2 less known facts,2,47
kishore kumar,4,36
caesarean history & modern economics,2,47
trivia,4,33
egyptian history,2,47
political maps,2,47
interesting ancient philosophy,2,47
world cinema,4,30
lost indian artefacts,2,47
75 years of indian independence,8,47
rare,2,47
queer happenings,2,47
rare lives,2,47
roman history,2,47
indian history,11,27.9
bengali heritage,2,47
life & art,2,47
fond memories,2,47
strange architecture,2,47
amazing nature,4,47
technology & wellbeing,2,47
comics lover,3,38.3
unique lives,2,47
less known facts,2,47
art for art's sake,2,47
princess di,2,47
unique phenomenon,2,47
kolkata stories,2,47
human characters,2,47
geography,6,28.2
intolerance,2,47
violence,18,33.1
indian freedom movements,4,38.5
intriguing findings,2,47
women's rights,121,24.2
national fervour,2,47
records,3,35.3
tagore,3,47
moods,2,47
traditions & cultures,6,34.7
adventures & expeditions,4,38
human mind & marketing strategies,2,47
the english royal family,2,47
che guevara,3,29.7
cultural amalgamation in kolkata,1,47
outstanding women,1,47
social issues,26,26.1
ruskin bond,2,41.5
chocolate love,3,29.7
bengali cinema,1,47
uttam kumar,1,47
interesting inventions,1,47
ott,54,24.9
heritage of indian villages,1,47
great indians,1,47
awards & accolades,1,47
landmark inventions,1,47
outstanding indian soldier & red tapism,1,47
languages & their inherent culture,1,47
stories behind superstitions,2,47
bollywood & its leading villains,2,47
bollywood mania,9,47
human rights,103,20.5
worthy indian products,1,47
heritage & development,1,47
latest cancer treatment developments,1,47
strange facts,2,33
latest food trends,1,47
guiness world records,1,47
philosophy,65,25.3
spirituality,44,24.1
traditions and cultures,1,47
remarkable tv & radio programmes,1,47
history of religions,1,47
societal changes,1,47
ancient history,3,35.3
mythology,11,25.4
ancient science,2,47
mythology and facts,1,47
humanity,27,26.7
bhupinder singh,1,47
values,6,26.3
social taboos,1,47
rare facts,1,47
indian comics,1,47
landmark advertisements,1,47
books & book lovers,1,47
rare incidents,1,47
charlie chaplin,2,35.5
world economy,1,47
special days,1,47
historical cartoons,1,47
globe-changing politics,1,47
historical landmarks,1,47
outstanding lives,1,47
geographical facts,2,33.5
partition & contemporary literature,2,47
gorillas and mankind,1,47
english royal family,4,47
kazi nazrul,1,47
the freedom movement & secularism,1,47
glorious lives,1,47
forgotten heroes,2,47
instant noodles in india,1,47
marketing strategy,3,51.7
religion & mythology,1,47
unison in differences,1,47
cricket banners,1,47
great humans,1,47
literature and languages,1,47
history & science,1,47
archaelogical studies,1,47
astronomical findings,1,47
scoop news,2,47
amitabh bachchan,19,23.6
comics,13,24.4
global education,1,47
the struggles of a genius,1,47
childhood memories,10,28.5
india-pakistan current news,1,47
delhi diaries,3,47
freedom movements,1,47
untold history,1,47
world culture & tribes,1,47
achievements & achievers,1,47
ancient social systems,1,47
indian politics & history,1,47
recent religious controversies,1,47
ads & controversy,1,47
multi-cuisine,1,47
history,47,20.9
science and god,1,47
history & facts,1,47
education system,27,25.6
hike,3,26.3
hiking,5,30.8
hiking trail,1,35
trail,1,35
mountains,94,28.2
adventure,66,22.0
exploring,3,25.7
climate,40,37.0
financial,12,46.2
festival,126,28.2
athletics,33,31.2
january 6,3,57
convicted rioter,2,57
capitol,3,45.3
usa,553,26.2
department of justice,5,57
aaron judge,1,57
breaking records,2,40
yankees,2,36
mlb,2,40.5
socialist,13,64.2
labor unions,3,45.3
us,51,34.6
jobs,12,34.9
workforce,2,57
scam,6,29.7
interstate 95,1,57
philadelphia,4,48
gofundme,1,57
former president,3,33
richard nixon,2,48
nyc,7,57
las vegas,7,36.4
landlord,1,57
section 8 housing,1,57
christian,5,36.2
jesus,16,27.1
watchdog,1,57
money,22,25.5
social security,3,47.7
fraudsters,1,57
republican,5,49.2
military,19,26.7
chick-fil-a,1,57
taiwan,15,31.1
asia,12,38.7
politcs,5,48.4
freebg,4,57
republicans,36,40.1
florida,12,43.7
hurricane ian,2,40.5
vote,7,40.6
migrants,12,43.8
liberals,8,57
sandy hook,4,52.5
victims,3,44.3
representative,2,57
indiana,3,57
car accident,5,37.6
mainstream media,3,31
drugs,20,30.5
colorado,3,39
police,32,35.4
fentanyl,1,57
cruise line,1,57
illegal migrants,1,57
prayforamerica,15,57
virus,3,45.7
🇺🇸,1,57
vice president,12,33.9
united states,184,23.3
paypal,2,48
fine,1,57
customers,2,55.5
world war ii,10,32
navajo code talkers,2,57
west virginia,2,57
liberal,3,55.7
28th amendment,1,57
canada,147,23.4
innocent lives taken,1,57
canadian politics,1,57
economic system,2,57
juul,1,57
e-cigarette,1,57
vaping,5,31.8
apple,34,28.3
iphone,16,29.6
apple watch,1,57
airpods,1,57
death penalty,9,48.8
supreme court,38,36.9
college athlete,1,57
changing the game,1,57
northwestern state,1,57
high school,6,30.3
soccer,524,26.2
indonesia,20,24.7
school,83,24.1
public institutions,2,57
presidentbiden,1,57
roe v. wade,39,25.1
secret service,1,57
speech therapists,1,57
house speaker,2,57
asia tour,2,57
nancy pelosi,5,43.4
democrats,28,45
massacre,2,39.5
georgia,13,35.7
u.s.,1,57
african american,5,34.4
uvalde,4,35.8
tx,1,57
4th of july,5,36
activists,2,57
blm,17,31.4
taxes,9,39.3
rich people,3,45
welfare,7,37.6
government assistance,2,57
tiktok,4,34.2
younger generation,1,57
president obama,1,57
first lady michelle obama,1,57
shooting,28,27.9
pray for america,3,57
chicago,1,57
senator,1,57
supreme court justice,1,57
justice thomas,2,57
roe vs wade,20,27.2
hillary clinton,7,35.6
justice clarence thomas,1,57
supreme court justices,4,43.5
law school,2,57
prayfornyc,1,57
criminal,2,57
idaho,2,57
lawsuit,5,50
abortions,2,57
wnba,6,34.8
al qaeda,3,45.3
drone strikes,3,44.7
ayman al-zawahri,2,57
kanye,3,44.3
✊🏾,1,57
fashion show,28,22.4
rapper,6,33
candace owens,1,57
wlm,1,57
iraq,5,40
palace,3,32.7
helicopter,4,35.5
firearms,1,57
parents,17,31.9
nasa,187,18.6
dart,1,57
governor,6,47.7
political,2,38
missouri,2,57
president biden,7,49.4
aoc,1,57
teachers,9,33.1
japan,69,25.2
prime minister,20,17.2
gun laws,35,28.3
michigan,2,39.5
suitor,1,57
new jersey,3,37.7
inmate,1,57
joe biden,218,23.5
inflation rate,2,57
soviet union,7,37.3
communism,3,38.3
quote,36,22.9
josh hawley,1,57
transgenderism,1,57
professor bridges,1,57
cyber threats,1,57
charter communications,1,57
school system,14,34.9
k-12,4,43.5
onlyfans,1,57
college professor,1,57
leaked,1,57
kim kardashian,34,21.9
cryptocurrency,21,28.1
exchange commission’s security,1,57
ethermax,1,57
united kingdom,129,22.7
mental illness,22,31.5
theft,4,46.2
mcdonalds,2,34.5
trump,38,34.4
fbi,10,43.2
cnn,5,44.6
border,3,33.3
cartel,1,57
cocaine,1,57
the border,1,57
chess,29,23.9
games,65,36.1
second amendment,3,55.7
george washington university,1,57
law students,1,57
minneapolis,1,57
millions,1,57
billions,1,57
powerball,1,57
vice president kamala harris,2,44.5
pronouns,2,43.5
vp,1,57
politicians,5,42.4
hunter biden,1,57
marijuana,4,47.5
north dakota,1,57
irs,3,51
mass shooter,1,57
mall shooting,1,57
attacked,1,57
queen,7,39.1
royal family,5,28.6
queen elizabeth,26,27.9
uk 🇬🇧,1,57
buckingham palace,2,56
car jackings,1,57
city,8,30.6
philly,1,57
cars,97,23.0
gun violence in america,5,33.4
blm ✊🏾,3,57
drug cartels,1,57
border control,1,57
mexican drug cartels,1,57
mississippi,5,49
hijacking,1,57
plane,3,33.7
walmart,1,57
environmental,12,31.2
students,23,26.2
white woman,2,57
black boy,2,57
lynching,2,57
emmett till,2,57
nfl,32,30.4
football players,1,57
pro bowl games,1,57
missing person,1,57
kenya,8,51.8
craigslist,1,57
ohio,4,33
medicine,23,28.6
byu,1,57
duke,4,39.8
volleyball,37,23.8
los angeles,19,24.4
ye,1,57
mexico,27,27.1
3-d printing,1,57
3d printed home,1,57
home 🏡,1,57
priyanka chopra jonas,7,25.3
actress,15,25.3
speaker of the house,1,57
september,5,38.2
9/11,1,57
democrat,1,57
new york,36,33.8
chinese,9,29.3
muslins,1,57
phoenix,3,49.3
store owner,2,57
journalists,11,39.7
editor,2,57
attorney,2,57
nyquil,1,57
fda,3,45
forward,1,57
andrew yang,1,57
christine todd whitman,1,57
david jolly,1,57
leaders,4,34
good leaders,1,57
